code,qty,price
0002433,1,11.09
0017539,3,6.89
0019982,8,5.36
0021506,2,60.81
0023038,2,27.23
0023479,1,250.0
0024534,4,4.16
0039625,2,39.52
0041290,3,9.87
0043272,2,40.09
0044126,5,241.9
0045779,15,10.53
0049976,5,25.89
0052511,20,12.65
0071629,1,23.76
0071728,5,3.67
0075298,3,6.68
0075921,3,3.1
0076134,5,25.5
0081116,1,11.05
0081117,1,11.05
0084235,1,35.12
0098085,40,1.53
0098306,1,33.92
0099429,1,36.96
0102017,10,3.53
0102475,1,136.29
0110576,1,55.7
0126011,10,5.34
0127226,1,25.88
0133979,5,24.92
0134412,1,199.07
0135219,1,65.73
0138932,6,2.95
0138934,6,3.05
0139277,6,9.95
0145573,3,3.78
0150470,1,60.73
0162239,4,15.79
0170790,6,16.7
0172593,1,61.39
0173025,2,55.89
0188156,1,37.51
0190938,1,79.9
0191207,2,19.13
0191208,2,19.13
0201711,1,25.26
0201712,1,14.61
0201850,1,9.09
0201851,1,9.09
0201891,1,5.57
0206241,5,3.33
0207146,2,19.43
0207147,2,19.6
0210987,1,40.93
0215291,8,3.06
0215293,15,3.26
0215294,10,3.06
0215311,5,3.33
0215338,1,5.07
0215393,10,3.52
0224541,3,187.43
0224575,4,189.79
0228676,2,24.29
0254515,1,44.32
0260785,5,39.53
0299223,1,62.78
0300009,1,26.63
0302881,1,11.61
0318114,3,42.84
0318848,1,46.53
0346629,5,20.9
0426550,3,54.08
0614211,1,9.96
0614750,1,14.43
0615105,1,21.46
0615106,1,20.2
0615107,1,21.64
0615756,3,42.43
0615757,3,43.1
0774589,1,173.26
